age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,score,an_income,pre_total_duration
31,7,1,1,0,12294,1,0,0,21,8,101,3,498,0,1,1.0,135234,0
29,2,2,2,0,43027,0,0,0,22,1,158,2,702,0,3,2.0,387243,0
35,4,1,2,0,12252,1,0,0,11,8,351,1,826,0,0,2.0,183780,0
31,9,1,1,0,99121,1,1,2,16,7,658,2,120,0,0,0.0,1090331,0
48,10,1,0,0,42005,1,0,1,3,0,177,1,273,0,3,3.0,1176140,0
30,1,1,0,0,-6160,0,0,0,18,1,158,1,632,0,3,2.0,-61600,0
33,1,1,1,0,88282,1,0,0,27,7,345,1,272,0,3,1.0,1147666,0
30,0,2,1,0,59830,1,0,0,27,7,184,1,639,0,3,2.0,598300,0
32,0,2,1,0,7958,0,0,0,28,10,101,1,525,0,2,2.0,95496,0
31,1,1,0,0,28066,1,1,2,15,7,345,2,433,0,3,0.0,308726,0
57,5,1,1,0,47453,0,0,1,6,5,67,2,781,0,3,3.0,1755761,0
46,1,1,0,0,95204,0,0,0,28,1,158,4,471,0,3,2.0,2475304,0
48,1,1,0,0,93108,0,0,1,11,1,48,2,557,0,3,2.0,2607024,0
39,10,2,2,0,51281,0,0,0,18,1,158,2,799,0,3,3.0,974339,0
37,4,1,1,0,18874,1,0,0,2,5,184,1,551,0,3,2.0,320858,0
31,1,2,1,0,98978,1,0,2,16,7,345,1,561,0,3,1.0,1088758,0
31,7,1,1,0,37071,1,0,0,12,7,523,2,831,1,0,1.0,407781,523
37,4,1,2,0,79021,0,0,0,12,4,158,1,102,0,3,2.0,1343357,0
30,7,1,1,0,6292,0,0,0,18,1,158,1,851,0,3,2.0,62920,0
32,1,1,0,0,55015,1,0,0,17,8,101,1,615,0,3,1.0,660180,0
28,0,2,1,0,33253,0,1,0,4,1,158,4,687,0,3,2.0,266024,0
33,1,1,0,0,19022,1,0,2,15,7,152,1,257,0,3,1.0,247286,0
33,4,2,2,0,36359,0,1,0,26,1,158,4,68,0,3,2.0,472667,0
32,0,2,1,0,14640,1,0,0,27,7,82,1,125,1,3,2.0,175680,82
31,9,2,1,0,90317,1,1,2,16,7,245,1,17,0,3,0.0,993487,0
35,9,1,1,0,53319,0,0,0,28,1,101,2,47,0,0,2.0,799785,0
32,9,1,1,0,41765,1,1,0,17,0,198,1,544,0,3,0.0,501180,0
33,4,1,2,0,17704,0,0,2,20,5,64,1,267,0,3,2.0,230152,0
32,0,2,1,0,1171,1,0,1,3,0,101,2,661,0,3,2.0,14052,0
31,9,0,1,0,31981,1,0,2,28,7,245,3,306,0,3,1.0,351791,0
37,5,1,1,0,74312,1,0,0,8,1,48,2,134,0,3,3.0,1263304,0
