,id,y
0,0,0.83
1,1,0.09
2,2,0.01
3,3,0.0
4,4,0.13
5,5,0.0
6,6,0.01
7,7,0.34
8,8,0.08
9,9,0.01
10,10,0.0
11,11,0.11
12,12,0.0
13,13,0.1
14,14,0.05
15,15,0.12
16,16,0.01
17,17,0.0
18,18,0.07
19,19,0.05
20,20,0.08
21,21,0.12
22,22,0.01
23,23,0.0
24,24,0.08
25,25,0.78
26,26,0.13
27,27,0.0
28,28,0.28
29,29,0.0
30,30,0.0
31,31,0.0
32,32,0.01
33,33,0.0
34,34,0.2
35,35,0.08
36,36,0.0
37,37,0.02
38,38,0.07
39,39,0.18
40,40,0.0
41,41,0.16
42,42,0.01
43,43,0.02
44,44,0.08
45,45,0.19
46,46,0.01
47,47,0.2
48,48,0.05
49,49,0.0
50,50,0.2
51,51,0.09
52,52,0.0
53,53,0.0
54,54,0.02
55,55,0.0
56,56,0.08
57,57,0.23
58,58,0.52
59,59,0.18
60,60,0.09
61,61,0.13
62,62,0.02
63,63,0.06
64,64,0.02
65,65,0.85
66,66,0.35
67,67,0.15
68,68,0.02
69,69,0.04
70,70,0.13
71,71,0.09
72,72,0.0
73,73,0.01
74,74,0.02
75,75,0.05
76,76,0.26
77,77,0.14
78,78,0.0
79,79,0.09
80,80,0.01
81,81,0.01
82,82,0.02
83,83,0.25
84,84,0.0
85,85,0.0
86,86,0.14
87,87,0.18
88,88,0.91
89,89,0.13
90,90,0.02
91,91,0.03
92,92,0.58
93,93,0.22
94,94,0.05
95,95,0.06
96,96,0.01
97,97,0.04
98,98,0.0
99,99,0.0
100,100,0.56
101,101,0.0
102,102,0.07
103,103,0.0
104,104,0.0
105,105,0.93
106,106,0.07
107,107,0.02
108,108,0.0
109,109,0.04
110,110,0.01
111,111,0.11
112,112,0.0
113,113,0.02
114,114,0.0
115,115,0.0
116,116,0.0
117,117,0.01
118,118,0.19
119,119,0.09
120,120,0.0
121,121,0.64
122,122,0.17
123,123,0.22
124,124,0.2
125,125,0.0
126,126,0.01
127,127,0.06
128,128,0.06
129,129,0.06
130,130,0.23
131,131,0.0
132,132,0.04
133,133,0.03
134,134,0.0
135,135,0.01
136,136,0.16
137,137,0.03
138,138,0.04
139,139,0.04
140,140,0.38
141,141,0.07
142,142,0.0
143,143,0.31
144,144,0.0
145,145,0.17
146,146,0.11
147,147,0.0
148,148,0.09
149,149,0.16
150,150,0.0
151,151,0.0
152,152,0.0
153,153,0.03
154,154,0.14
155,155,0.07
156,156,0.08
157,157,0.14
158,158,0.02
159,159,0.41
160,160,0.04
161,161,0.17
162,162,0.18
163,163,0.05
164,164,0.01
165,165,0.12
166,166,0.3
167,167,0.0
168,168,0.07
169,169,0.08
170,170,0.01
171,171,0.0
172,172,0.9
173,173,0.18
174,174,0.09
175,175,0.36
176,176,0.14
177,177,0.05
178,178,0.27
179,179,0.1
180,180,0.15
181,181,0.05
182,182,0.07
183,183,0.1
184,184,0.0
185,185,0.05
186,186,0.1
187,187,0.03
188,188,0.0
189,189,0.07
190,190,0.02
191,191,0.18
192,192,0.4
193,193,0.06
194,194,0.05
195,195,0.65
196,196,0.1
197,197,0.03
198,198,0.14
199,199,0.03
200,200,0.21
201,201,0.26
202,202,0.05
203,203,0.77
204,204,0.05
205,205,0.12
206,206,0.0
207,207,0.01
208,208,0.21
209,209,0.04
210,210,0.39
211,211,0.08
212,212,0.0
213,213,0.0
214,214,0.04
215,215,0.96
216,216,0.1
217,217,0.02
218,218,0.02
219,219,0.12
220,220,0.03
221,221,0.0
222,222,0.01
223,223,0.01
224,224,0.12
225,225,0.17
226,226,0.05
227,227,0.01
228,228,0.18
229,229,0.03
230,230,0.13
231,231,0.28
232,232,0.0
233,233,0.06
234,234,0.0
235,235,0.13
236,236,0.04
237,237,0.2
238,238,0.0
239,239,0.02
240,240,0.0
241,241,0.01
242,242,0.08
243,243,0.0
244,244,0.0
245,245,0.0
246,246,0.32
247,247,0.01
248,248,0.0
249,249,0.22
250,250,0.01
251,251,0.0
252,252,0.28
253,253,0.4
254,254,0.0
255,255,0.12
256,256,0.0
257,257,0.0
258,258,0.01
259,259,0.05
260,260,0.02
261,261,0.05
262,262,0.03
263,263,0.17
264,264,0.01
265,265,0.05
266,266,0.0
267,267,0.0
268,268,0.0
269,269,0.0
270,270,0.01
271,271,0.0
272,272,0.17
273,273,0.19
274,274,0.14
275,275,0.01
276,276,0.02
277,277,0.44
278,278,0.03
279,279,0.0
280,280,0.16
281,281,0.03
282,282,0.0
283,283,0.03
284,284,0.15
285,285,0.0
286,286,0.21
287,287,0.0
288,288,0.12
289,289,0.13
290,290,0.17
291,291,0.0
292,292,0.02
293,293,0.19
294,294,0.06
295,295,0.0
296,296,0.0
297,297,0.0
298,298,0.01
299,299,0.13
300,300,0.72
301,301,0.01
302,302,0.24
303,303,0.0
304,304,0.05
305,305,0.09
306,306,0.05
307,307,0.01
308,308,0.05
309,309,0.01
310,310,0.03
311,311,0.02
312,312,0.08
313,313,0.0
314,314,0.03
315,315,0.05
316,316,0.1
317,317,0.2
318,318,0.03
319,319,0.01
320,320,0.22
321,321,0.07
322,322,0.02
323,323,0.0
324,324,0.12
325,325,0.0
326,326,0.0
