pred_1a,pred_1b,pred_1c,pred_1d,pred_1e
0.0049770745,0.0070903003,0.0,0.010711246,0.010087937
0.1501768,0.14730948,0.27,0.11757841,0.13442531
0.007844554,0.0046776533,0.0,0.011605809,0.006863773
0.0072191525,0.002197057,0.0,0.010152498,0.0020449758
0.05670201,0.15788847,0.33,0.15316582,0.19924146
0.07902623,0.054118633,0.08,0.05334309,0.04043138
0.0024967385,0.0077878237,0.0,0.0038905535,0.009274662
0.045428798,0.03936574,0.11,0.10220633,0.049162358
0.9060866,0.96735084,0.26,0.18393998,0.8914762
0.0021595468,0.010817528,0.0,0.0046472135,0.00852564
0.09858622,0.12863147,0.02,0.07472064,0.11337787
0.07591461,0.05121079,0.08,0.0687279,0.04278809
0.049046166,0.015582502,0.1,0.01682508,0.019737989
0.12595706,0.16435617,0.21,0.12091518,0.12493345
0.05602849,0.031566888,0.02,0.090301044,0.031150699
0.030893557,0.036396176,0.0,0.016818007,0.038922668
0.036708817,0.032372594,0.0,0.036648516,0.023058236
0.25586402,0.15674618,0.22,0.3143332,0.22580338
0.09955496,0.064353704,0.14,0.08982581,0.05309108
0.02389938,0.025269002,0.02,0.07940924,0.013543576
0.041980732,0.037353486,0.14,0.053938985,0.046547562
0.024612013,0.014643729,0.0,0.010804384,0.01680559
0.11120569,0.039192557,0.19,0.05859363,0.040536612
0.074545905,0.2896818,0.13,0.07196179,0.16398919
0.024065493,0.03018865,0.05,0.08846568,0.042779565
0.017401466,0.01874438,0.18,0.026914334,0.017512709
0.07769674,0.059844166,0.03,0.05406107,0.04160154
0.05489188,0.036842465,0.01,0.021778876,0.05703339
0.1633306,0.20059803,0.18,0.16260391,0.22150537
0.02577439,0.0075383782,0.05,0.029009178,0.01671487
0.09381479,0.055601,0.23,0.14695555,0.07159409
0.06108992,0.09251949,0.04,0.06970952,0.07807782
0.18592262,0.20457664,0.13,0.251412,0.19172701
0.05547646,0.2309373,0.07,0.28124005,0.23845297
0.018084329,0.024229944,0.01,0.0050390726,0.03234002
0.022462538,0.04783082,0.09,0.13064313,0.03410086
0.09385523,0.025048167,0.02,0.054738656,0.07582766
0.04192968,0.031394273,0.03,0.06308541,0.022201896
0.05821763,0.022046119,0.04,0.028848007,0.014490277
0.16642298,0.1296005,0.09,0.14591599,0.10585666
0.016761167,0.005041927,0.03,0.07773017,0.005186975
0.045927674,0.017188162,0.03,0.039650396,0.016735762
0.027672386,0.04909286,0.07,0.09154544,0.057138294
0.026585283,0.1131379,0.12,0.04698221,0.120159835
0.1148969,0.15875998,0.04,0.11353886,0.13583297
0.2671289,0.02401784,0.44,0.14309621,0.015226275
0.063055836,0.03422141,0.01,0.02847773,0.06565878
0.03775976,0.030640155,0.07,0.047890592,0.023931623
0.017606955,0.046773612,0.0,0.0098166885,0.021631718
0.015349147,0.0055036247,0.0,0.08324868,0.0084195435
0.048734292,0.06609565,0.04,0.037184957,0.061965644
0.08948974,0.10779244,0.08,0.06253166,0.10006362
0.099341065,0.114510775,0.05,0.07519257,0.13997951
0.016697586,0.0016101897,0.0,0.004751397,0.0032258034
0.06755356,0.101198256,0.08,0.08155982,0.106815636
0.04619137,0.035574496,0.22,0.07230404,0.091885895
0.19600447,0.09641582,0.1,0.1729813,0.10060769
0.02294949,0.016471744,0.01,0.08197507,0.013671398
0.017970147,0.007460147,0.0,0.00574993,0.009331048
0.048425257,0.02886656,0.03,0.043302976,0.025425494
0.085495435,0.071008176,0.09,0.11176809,0.06733477
0.039789885,0.023501277,0.03,0.036037747,0.058438748
0.014436361,0.004812151,0.1,0.007834322,0.008245468
0.013877683,0.025416315,0.03,0.058841802,0.021949768
0.12453497,0.045333922,0.24,0.061353143,0.05984679
0.017970147,0.0066527426,0.0,0.005171542,0.007677436
0.12886861,0.16416198,0.04,0.14236625,0.13719112
0.8431688,0.91277736,0.69,0.6824434,0.84684867
0.06619463,0.06243521,0.04,0.08892775,0.066366345
0.008218834,0.05537665,0.0,0.06417712,0.05189836
0.011193611,0.0148412585,0.05,0.018379554,0.013135314
0.012494682,0.02822259,0.0,0.014440325,0.013939917
0.12811194,0.1125983,0.12,0.12059992,0.16400298
0.045250088,0.0112077,0.01,0.02548422,0.020170093
0.05562892,0.053474814,0.02,0.07652686,0.05382514
0.026945272,0.021082163,0.03,0.012982589,0.020152152
0.06897363,0.035775512,0.15,0.13914728,0.048193425
0.004188393,0.023024976,0.0,0.0688078,0.024897456
0.04413043,0.0147379935,0.0,0.028909462,0.018831015
0.12054787,0.21867833,0.1,0.08321415,0.26052445
0.048054904,0.0029968023,0.07,0.04409626,0.004073262
0.019749125,0.004618913,0.0,0.009841303,0.007162839
0.077464074,0.106250346,0.12,0.060201783,0.11826506
0.10001652,0.23841032,0.13,0.1288237,0.27516687
0.047090057,0.10824269,0.25,0.050222673,0.055583805
0.10524394,0.109282225,0.08,0.07040967,0.07501501
0.015863188,0.016782016,0.0,0.022841934,0.015671164
0.10071047,0.043480694,0.08,0.08050997,0.066560835
0.26239008,0.3256664,0.17,0.25193483,0.36628008
0.008228514,0.027652562,0.02,0.03481844,0.054353327
0.0026604533,0.00663808,0.0,0.0058311913,0.0049891174
0.096056014,0.12236774,0.02,0.082516395,0.14348751
0.2640964,0.39626196,0.13,0.22356896,0.4743537
0.002699739,0.014973551,0.0,0.004959552,0.013323873
0.0076540406,0.004316807,0.01,0.065128736,0.0052910447
0.034589104,0.0036434233,0.07,0.011892744,0.022129744
0.025779532,0.023009986,0.03,0.02673133,0.01631084
0.2050826,0.21595496,0.08,0.19083963,0.17362267
0.022033686,0.016078353,0.0,0.006287134,0.028714418
0.14781158,0.023288757,0.38,0.058232974,0.036462963
0.12465532,0.25965095,0.22,0.111923866,0.1735098
0.00851033,0.0194287,0.0,0.0025790082,0.01311937
0.04767736,0.017618,0.06,0.035700396,0.028486699
0.04198116,0.01621154,0.0,0.030991344,0.017736822
0.0023145303,0.0066405237,0.0,0.0556042,0.006179422
0.023186581,0.012744188,0.01,0.00901003,0.016552031
0.046764694,0.029848874,0.02,0.023269344,0.03651437
0.082818255,0.24559695,0.16,0.13958283,0.15984342
0.10264778,0.01206398,0.1,0.08762638,0.06253874
0.012334207,0.025047421,0.0,0.014283404,0.02282852
