,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,score,an_income,pre_total_duration,stacking_f,stacking_o,stacking_s,stacking_u
0,31,7,1,1,0,12294,1,0,0,21,8,101,3,498,0,1.0,135234,0,0.42131016769905305,0.13892811726758864,0.043382539903377364,0.39637917512994847
1,29,2,2,2,0,43027,0,0,0,22,1,158,2,702,0,2.0,387243,0,0.00247482698793422,-0.0006179043792173648,2.9638567259088894e-05,0.9981134388240233
2,35,4,1,2,0,12252,1,0,0,11,8,351,1,826,0,2.0,183780,0,0.9728010975258773,0.013479354862098489,0.009563912286267781,0.004155635325775675
3,31,9,1,1,0,99121,1,1,2,16,7,658,2,120,0,0.0,1090331,0,0.002518292140840858,0.0069817176919934575,0.0008768039685767143,0.989623186198588
4,48,10,1,0,0,42005,1,0,1,3,0,177,1,273,0,3.0,1176140,0,0.014283054356559313,-0.000124466220919911,0.008411775227849487,0.9774296366365045
5,30,1,1,0,0,-6160,0,0,0,18,1,158,1,632,0,2.0,-61600,0,0.006010121100701968,-0.0014736869930572528,0.0002257600743816833,0.9952378058179725
6,33,1,1,1,0,88282,1,0,0,27,7,345,1,272,0,1.0,1147666,0,0.000557489333663036,-0.0003677118787012608,0.0003330408590326295,0.999477181686005
7,30,0,2,1,0,59830,1,0,0,27,7,184,1,639,0,2.0,598300,0,0.006575908954275705,-0.0010351749672590782,0.0010542142819085776,0.9934050517310735
8,32,0,2,1,0,7958,0,0,0,28,10,101,1,525,0,2.0,95496,0,0.8038834229676353,0.14527821550312614,-0.00140019324980405,0.05223855477903294
9,31,1,1,0,0,28066,1,1,2,15,7,345,2,433,0,0.0,308726,0,-0.0002729169600672876,-0.0010391160233205396,-0.00031103188203328996,1.0016230648654205
10,57,5,1,1,0,47453,0,0,1,6,5,67,2,781,0,3.0,1755761,0,0.012843429415537372,0.013858816630491773,0.0028131581704478725,0.9704845957835226
11,46,1,1,0,0,95204,0,0,0,28,1,158,4,471,0,2.0,2475304,0,0.0080402871320992,0.0054763201399219905,-0.00028410700998912977,0.9867674997379663
12,48,1,1,0,0,93108,0,0,1,11,1,48,2,557,0,2.0,2607024,0,0.03478167864955621,0.005893450136921545,0.00408632077591148,0.9552385504376025
13,39,10,2,2,0,51281,0,0,0,18,1,158,2,799,0,3.0,974339,0,0.001741749041991994,-0.00014333989964901428,0.0012313587947866272,0.9971702320628697
14,37,4,1,1,0,18874,1,0,0,2,5,184,1,551,0,2.0,320858,0,0.001121058949148948,0.0032550695314069317,0.00042961890030316155,0.9951942526191416
15,31,1,2,1,0,98978,1,0,2,16,7,345,1,561,0,1.0,1088758,0,0.0015785221219924844,-0.0010181302155474192,-0.0001891146871293263,0.999628722780684
16,31,7,1,1,0,37071,1,0,0,12,7,523,2,831,1,1.0,407781,523,0.7446252068460391,0.18752668332847602,0.08628060019420841,-0.018432490368714083
17,37,4,1,2,0,79021,0,0,0,12,4,158,1,102,0,2.0,1343357,0,0.012664342544712826,0.005793041709898188,0.007984151053131211,0.9735584646922537
18,30,7,1,1,0,6292,0,0,0,18,1,158,1,851,0,2.0,62920,0,0.002160698067617192,-0.0010395730027928443,-0.00043246184485246433,0.9993113367800277
